"idstud";"female";"HISEI";"AGE";"R040Q02";"R040Q03A";"R040Q03B";"R040Q04";"R040Q06";"R077Q02";"R077Q03";"R077Q04";"R077Q05";"R077Q06";"R088Q01";"R088Q03";"R088Q04T";"R088Q05T";"R088Q07";"R110Q01";"R110Q04";"R110Q05";"R110Q06";"R216Q01";"R216Q02";"R216Q03T";"R216Q04";"R216Q06";"R236Q01";"R236Q02"
"27600600";0;34;187;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0
"27600604";0;39;185;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"27600610";1;43;186;1;0;0;1;1;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
"27600614";1;38;186;1;1;1;1;1;1;2;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0
"27600615";0;78;185;1;1;0;1;1;1;2;0;0;1;1;1;2;1;1;1;1;1;1;1;1;0;0;1;0;1
"27600618";1;40;193;1;0;0;1;0;1;2;1;1;0;1;2;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"27600624";0;38;190;1;0;0;1;1;1;0;1;0;0;1;2;2;1;1;1;1;1;1;0;0;0;0;0;1;0
"27600635";1;51;183;0;1;0;1;1;1;2;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0
"27600637";1;55;191;0;1;0;1;1;1;2;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;1
"27600646";1;51;189;1;0;0;1;0;1;2;0;0;0;1;2;0;0;0;0;1;0;0;1;1;1;0;0;0;0
"27600651";1;74;187;1;1;1;1;1;1;2;0;1;1;1;1;2;0;1;1;0;1;1;1;1;1;1;1;0;1
"27600653";1;51;185;1;1;1;1;1;1;2;1;0;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600654";1;38;193;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0
"27600660";0;55;193;1;1;1;1;1;1;0;1;1;1;1;2;1;0;1;0;0;1;1;0;1;0;0;0;0;0
"27600672";0;38;193;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0
"27600673";0;85;190;1;1;1;1;1;1;2;1;0;0;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600675";0;48;185;1;1;1;1;1;1;2;1;0;0;1;2;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"27600685";0;65;193;1;1;1;1;1;1;0;1;0;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;0;0
"27600690";0;82;191;1;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
"27600692";1;53;191;1;1;1;1;1;1;2;1;0;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0
"27600697";1;53;186;1;0;0;1;0;1;2;1;0;0;1;1;1;1;0;1;1;0;0;1;1;0;1;1;0;0
"27600699";1;23;184;1;1;0;1;0;1;0;1;0;1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1;0
"27600702";0;55;190;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"27600703";1;53;187;1;1;1;0;1;1;2;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0
"27600716";0;85;192;1;1;0;1;1;1;2;0;0;0;1;0;0;1;1;1;1;1;1;0;1;1;0;1;0;0
"27600721";0;53;188;1;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0
"27600731";1;30;191;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27600734";1;43;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1
"27600736";1;26;183;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
"27600742";1;69;190;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0
"27600747";0;28;184;1;1;0;1;1;0;2;1;0;0;1;2;1;1;1;0;1;0;0;0;1;1;1;0;0;0
"27600753";1;51;188;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;0
"27600756";1;53;183;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0
"27600761";1;23;188;1;1;1;1;1;1;1;1;0;1;1;2;1;1;1;1;1;1;0;1;1;1;0;1;1;0
"27600764";1;51;186;0;1;1;1;1;1;2;1;0;1;1;2;1;0;1;1;1;1;1;1;1;0;1;1;1;0
"27600769";1;45;187;1;1;0;0;0;1;2;1;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;1;0;0
"27600771";1;43;189;0;1;1;1;0;1;2;1;0;1;0;0;1;0;0;1;1;0;1;1;1;1;0;1;0;0
"27600778";1;51;191;1;0;0;1;1;1;2;0;0;0;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;0
"27600779";1;43;189;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27600791";0;32;193;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"27600794";0;43;186;1;1;1;1;1;1;0;1;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0
"27600795";1;29;190;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0
"27600806";1;43;193;0;0;0;1;0;0;2;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0
"27600807";1;43;185;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;0
"27600808";0;43;999;0;1;0;1;1;1;0;0;0;1;1;0;0;1;0;1;1;0;1;1;0;1;1;1;1;0
"27600817";1;16;192;1;1;0;1;0;1;2;1;0;0;1;2;0;1;1;1;0;0;0;1;1;1;1;1;1;0
"27600827";1;55;192;0;0;0;0;1;1;2;1;0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0
"27600828";0;52;192;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"27600831";0;38;184;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0
"27600833";0;26;184;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0;1;1;0;0;0;1;0;0
"27600838";1;53;192;0;0;0;1;0;1;2;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;0
"27600841";0;38;999;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0
"27600847";1;45;191;1;1;1;1;1;1;0;1;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0
"27600856";0;67;194;1;1;1;1;1;1;2;1;1;0;1;2;1;1;0;1;1;1;1;0;1;1;0;0;1;1
"27600860";1;69;193;1;1;1;1;1;0;2;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1
"27600867";1;51;185;0;1;1;1;0;1;2;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0
"27600869";1;60;186;1;1;1;1;1;0;2;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0
"27600870";1;69;192;1;1;1;0;1;1;2;1;1;1;1;2;0;1;1;1;1;0;1;1;1;1;1;1;1;1
"27600874";1;53;184;1;0;0;1;1;1;2;0;0;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;1
"27600875";1;59;184;1;1;0;1;1;1;0;1;0;0;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;0
"27600878";1;55;188;1;1;1;1;1;1;0;1;0;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;0
"27600882";1;69;193;1;1;1;1;1;1;2;0;0;1;1;2;1;1;1;1;1;1;1;1;0;1;1;1;1;1
"27600884";1;67;193;1;1;1;1;0;1;2;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1
"27600888";1;69;191;1;1;1;1;1;1;2;1;0;0;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600899";1;69;185;0;1;1;1;0;1;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"27600907";0;55;190;1;1;0;1;1;1;2;0;1;0;1;2;1;1;1;1;1;1;1;1;1;0;1;0;1;1
"27600908";1;43;187;1;1;0;1;1;0;2;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1
"27600909";1;70;190;1;1;1;1;1;1;2;1;0;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;0;1
"27600911";0;69;192;1;1;1;1;1;1;2;0;0;1;1;2;1;1;1;1;1;1;1;1;1;1;0;0;1;0
"27600926";1;25;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0
"27600928";1;50;187;0;1;0;1;0;1;2;1;1;0;1;2;1;1;0;1;1;1;1;1;1;1;0;1;1;0
"27600930";1;39;193;0;0;0;1;0;0;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0
"27600931";1;34;190;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;0;0;0;0
"27600934";0;69;193;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0
"27600946";0;30;192;1;0;1;1;1;0;2;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
"27600950";0;29;193;1;0;1;1;0;1;2;1;0;0;1;1;2;1;1;1;1;1;1;1;1;1;0;1;0;1
"27600957";0;24;191;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27600958";0;39;184;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27600964";0;43;185;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
"27600965";1;69;186;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0
"27600978";0;55;191;1;0;0;1;1;1;2;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
"27600982";1;88;194;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0
"27600983";1;38;188;1;1;1;1;1;1;2;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
